observationID,scientificName,minTimestamp,maxTimestamp,deploymentID
ef2f7140-ae97-4b44-8309-ab1ffbc02879,,2020-07-29T05:29:41Z,2020-07-29T05:29:41Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
ef2f7140-ae97-4b44-8309-ab1ffbc02879,,2020-07-29T05:29:42Z,2020-07-29T05:29:42Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
ef2f7140-ae97-4b44-8309-ab1ffbc02879,,2020-07-29T05:29:43Z,2020-07-29T05:29:43Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
ef2f7140-ae97-4b44-8309-ab1ffbc02879,,2020-07-29T05:29:43Z,2020-07-29T05:29:43Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
ef2f7140-ae97-4b44-8309-ab1ffbc02879,,2020-07-29T05:29:44Z,2020-07-29T05:29:44Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
ef2f7140-ae97-4b44-8309-ab1ffbc02879,,2020-07-29T05:29:44Z,2020-07-29T05:29:44Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
ef2f7140-ae97-4b44-8309-ab1ffbc02879,,2020-07-29T05:29:45Z,2020-07-29T05:29:45Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
ef2f7140-ae97-4b44-8309-ab1ffbc02879,,2020-07-29T05:29:46Z,2020-07-29T05:29:46Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
ef2f7140-ae97-4b44-8309-ab1ffbc02879,,2020-07-29T05:29:46Z,2020-07-29T05:29:46Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
ef2f7140-ae97-4b44-8309-ab1ffbc02879,,2020-07-29T05:29:47Z,2020-07-29T05:29:47Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
68686a75-ad44-4676-b45e-2b85f60e4d11,,2020-07-29T05:38:55Z,2020-07-29T05:38:55Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
68686a75-ad44-4676-b45e-2b85f60e4d11,,2020-07-29T05:38:55Z,2020-07-29T05:38:55Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
68686a75-ad44-4676-b45e-2b85f60e4d11,,2020-07-29T05:38:56Z,2020-07-29T05:38:56Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
68686a75-ad44-4676-b45e-2b85f60e4d11,,2020-07-29T05:38:56Z,2020-07-29T05:38:56Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
68686a75-ad44-4676-b45e-2b85f60e4d11,,2020-07-29T05:38:57Z,2020-07-29T05:38:57Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
68686a75-ad44-4676-b45e-2b85f60e4d11,,2020-07-29T05:38:58Z,2020-07-29T05:38:58Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
68686a75-ad44-4676-b45e-2b85f60e4d11,,2020-07-29T05:38:58Z,2020-07-29T05:38:58Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
68686a75-ad44-4676-b45e-2b85f60e4d11,,2020-07-29T05:38:59Z,2020-07-29T05:38:59Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
68686a75-ad44-4676-b45e-2b85f60e4d11,,2020-07-29T05:38:59Z,2020-07-29T05:38:59Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
68686a75-ad44-4676-b45e-2b85f60e4d11,,2020-07-29T05:39:00Z,2020-07-29T05:39:00Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
3d065f23-426a-449b-8693-f3c6b2ac9c7a,Anas strepera,2020-07-29T05:46:48Z,2020-07-29T05:46:48Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
3d065f23-426a-449b-8693-f3c6b2ac9c7a,Anas strepera,2020-07-29T05:46:49Z,2020-07-29T05:46:49Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
3d065f23-426a-449b-8693-f3c6b2ac9c7a,Anas strepera,2020-07-29T05:46:49Z,2020-07-29T05:46:49Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
3d065f23-426a-449b-8693-f3c6b2ac9c7a,Anas strepera,2020-07-29T05:46:50Z,2020-07-29T05:46:50Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
3d065f23-426a-449b-8693-f3c6b2ac9c7a,Anas strepera,2020-07-29T05:46:51Z,2020-07-29T05:46:51Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
3d065f23-426a-449b-8693-f3c6b2ac9c7a,Anas strepera,2020-07-29T05:46:51Z,2020-07-29T05:46:51Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
3d065f23-426a-449b-8693-f3c6b2ac9c7a,Anas strepera,2020-07-29T05:46:52Z,2020-07-29T05:46:52Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
3d065f23-426a-449b-8693-f3c6b2ac9c7a,Anas strepera,2020-07-29T05:46:52Z,2020-07-29T05:46:52Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
3d065f23-426a-449b-8693-f3c6b2ac9c7a,Anas strepera,2020-07-29T05:46:53Z,2020-07-29T05:46:53Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
3d065f23-426a-449b-8693-f3c6b2ac9c7a,Anas strepera,2020-07-29T05:46:54Z,2020-07-29T05:46:54Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
1fa8b00a-8f0e-485e-b98e-eb9bb1ee5a9f,Anas strepera,2020-07-30T04:29:31Z,2020-07-30T04:29:31Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
1fa8b00a-8f0e-485e-b98e-eb9bb1ee5a9f,Anas strepera,2020-07-30T04:29:32Z,2020-07-30T04:29:32Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
1fa8b00a-8f0e-485e-b98e-eb9bb1ee5a9f,Anas strepera,2020-07-30T04:29:33Z,2020-07-30T04:29:33Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
1fa8b00a-8f0e-485e-b98e-eb9bb1ee5a9f,Anas strepera,2020-07-30T04:29:33Z,2020-07-30T04:29:33Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
1fa8b00a-8f0e-485e-b98e-eb9bb1ee5a9f,Anas strepera,2020-07-30T04:29:34Z,2020-07-30T04:29:34Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
1fa8b00a-8f0e-485e-b98e-eb9bb1ee5a9f,Anas strepera,2020-07-30T04:29:34Z,2020-07-30T04:29:34Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
1fa8b00a-8f0e-485e-b98e-eb9bb1ee5a9f,Anas strepera,2020-07-30T04:29:35Z,2020-07-30T04:29:35Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
1fa8b00a-8f0e-485e-b98e-eb9bb1ee5a9f,Anas strepera,2020-07-30T04:29:36Z,2020-07-30T04:29:36Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
1fa8b00a-8f0e-485e-b98e-eb9bb1ee5a9f,Anas strepera,2020-07-30T04:29:36Z,2020-07-30T04:29:36Z,29b7d356-4bb4-4ec4-b792-2af5cc32efa8
